Ob,WageNew
1,109.74072452532424
2,5479.993706056534
3,1165.958933281288
4,21103.41632619668
5,21563.192666470517
6,448.30685090852774
7,16499.57118386537
8,1886.8831694648661
9,9054.031428380496
10,4200.97714295008
11,5134.580988071
12,3361.0569576277435
13,66188.54713450374
14,21548.417891905
15,29899.071948186935
16,297.62855358426657
17,12787.225875009395
18,3584.2739060361564
19,17314.61669503965
20,1019.8231523699982
21,4582.2483043676075
22,2669.359138997723
23,3228.3805906252164
24,4129.514614956674
25,2365.0313508835816
26,21406.118769994755
27,591.2662924297405
28,26475.008848583922
29,2186.7148805257607
30,10758.193622677196
31,26238.117083036013
32,5039.947538881663
33,23511.741417689318
34,2427.955906637578
35,17585.904759745943
36,2430.922137354419
37,1373.7645569010886
38,9883.431736547422
39,2459.2214503069913
40,20165.602390275668
41,21451.504785623445
42,2801.606877210759
43,1245.6791603695942
44,1325.2461514809688
45,5373.52330927648
46,46355.457224564605
47,257.5661266259982
48,2962.773838835947
49,2992.090854943581
50,1676.9265220550944
51,13508.773252485886
52,16182.390180755012
53,19824.587373714603
54,63259.63504003186
55,5733.081597076385
56,2395.55923822925
57,751.2927634086516
58,28431.106676401563
59,578.793636654674
60,134384.61925449522
61,8120.019619520647
62,1455.9271803331196
63,2287.5786649146207
64,4595.334519112824
65,32420.857507474226
66,2011.4925397109616
67,16302.948567675183
68,2557.2563769907906
69,49805.90979839661
70,4435.237040821167
71,26258.796065478844
72,1496.4624879207547
73,7824.051187178794
74,7349.644001712189
75,4962.012145459231
76,1840.1207647962817
77,14916.013783172075
78,16841.99701636036
79,4547.025062656853
80,2248.756839662644
81,13051.458076809397
82,2338.5290882722707
83,16882.41811421052
84,2948.241453775893
85,17129.993940181423
86,1054.4745064092588
87,3730.875296552239
88,4881.612352349203
89,43218.01734984793
90,13622.17598930514
91,1584.5987355664931
92,5528.190576590991
93,791.4027321647845
94,95681.05087224377
95,11304.833180482161
96,15045.291012073058
97,2035.751331194291
98,1135.293145562303
99,2055.624079692492
100,1379.322059171967
101,13828.207506256165
102,2745.7505056645527
103,4000.4201783704225
104,4932.044014943273
105,2906.5870076622036
106,9269.000829130384
107,8283.680502982807
108,23611.264280755113
109,313.5377504816405
110,2340.553273890365
111,1833.525950678265
112,11438.928366503187
113,5968.236388552149
114,4001.4223376487416
115,8421.683160647082
116,29294.8350822727
117,14491.15127045337
118,13439.506319559385
119,1138.3585802292773
120,3267.1698843257614
121,1808.3830759584082
122,23432.36430546635
123,3794.84796177363
124,2821.010653827526
125,6164.2640214669855
126,73196.87174453339
127,1989.5799174246704
128,16100.589856079978
129,1682.3522734883184
130,31602.037660155464
131,3664.2329582407124
132,2255.3459380854533
133,7539.005008892532
134,2846.1826605388737
135,1088.3348805316743
136,6794.7552854726055
137,1933.9532254660596
138,3772.1958536128263
139,1699.5006521635835
140,698.4223457428557
141,8152.050651015693
142,17182.65734845951
143,8726.75403277729
144,2002.8526993431014
145,743.6100787489003
146,4313.795561205406
147,10251.643393214834
148,15689.937281468123
149,183674.89613840648
150,1846.8388488427006
151,61709.856956734715
152,3675.4944374146467
153,9242.919198618269
154,19967.25569999101
155,19747.93463010761
156,2228.199803286678
157,1625.1792714716591
158,13026.25343617204
159,2624.8283151732694
160,1686.0040839024612
161,41277.9353834569
162,4350.763314123897
163,3819.1663972709316
164,4386.609949854696
165,7146.126840069684
166,1370.6618392152893
167,265.3408541433035
168,4259.360860739701
169,7628.289226335738
170,3896.429849180024
171,6037.10842387236
172,24394.56631106159
173,9659.453086198791
174,5089.489855136296
175,2818.315376458368
176,9563.014382622807
177,1421.4526128977589
178,4206.371071252422
179,23788.40772227593
180,8226.57855135025
181,42173.920140710805
182,8635.652620871331
183,5633.4514764105315
184,7015.087686453104
185,2009.7509636368661
186,7304.392847204159
187,9899.862902392671
188,7151.458103198138
189,2000.0544347995572
190,4949.02541178975
191,744.0979239937199
192,26905.311524124892
