Ob,WageNew
1,799.7357890462871
2,4550.770643578625
3,1611.7835702141297
4,21378.653201330206
5,24071.11524297358
6,448.95451844418596
7,8350.015990136886
8,1705.828924693468
9,10500.224989644212
10,3804.9337971505342
11,4037.8974484522837
12,2333.0646778771898
13,89957.88185793802
14,18657.677530883684
15,25370.105040226805
16,1005.869240949321
17,18847.692210103578
18,3629.82191402786
19,18287.88832349094
20,1089.296072523841
21,4423.583464038176
22,2246.364098995941
23,3604.038336878055
24,3156.3039118495885
25,1639.6733685192348
26,19484.118911408386
27,705.4450813216641
28,22833.8566185998
29,1304.8488457614385
30,11120.34569048304
31,27324.894500061815
32,5597.8690470174515
33,24638.59636055797
34,2537.840905057116
35,17321.685634655445
36,1067.2035098420577
37,6485.109824881333
38,10452.54555595943
39,1837.7531609022608
40,21994.667677054655
41,19179.9402578965
42,2671.363668573155
43,1203.3436027910204
44,2415.6884393985442
45,5413.542521710338
46,32920.571737968065
47,882.3065633222145
48,4139.841063312075
49,3577.32452517752
50,886.0339432969173
51,13835.778699578223
52,18948.63562974049
53,14485.275494208427
54,72787.12942210998
55,6519.440170210357
56,2207.147962885942
57,1985.9745574812255
58,26244.986101399827
59,970.470988780581
60,135310.91908750313
61,7917.850408497313
62,1886.2041816048397
63,2226.2019070336896
64,4023.766798344231
65,25765.99718902049
66,2117.782056200751
67,21499.894105660467
68,2670.0964738435146
69,43414.18177093433
70,4768.39810065022
71,14820.960517694968
72,2121.120001864556
73,8018.878938950232
74,9269.082722926501
75,5307.8339333161
76,1465.689629762256
77,17163.579750616096
78,16064.693866035239
79,3990.9828255776656
80,268.90486703377644
81,38262.84402408212
82,3617.575806734606
83,15887.673152743419
84,1563.109672418785
85,22559.276248990773
86,1042.0607093575927
87,3317.2740479002905
88,4669.129968020104
89,55381.354267734176
90,15513.75670063565
91,1302.2406239239972
92,6029.722562464553
93,859.6983054186609
94,70124.9729759105
95,12075.679614387855
96,12546.737629903097
97,2345.917345523978
98,1162.1556889391827
99,1908.4822836110575
100,921.4092064651685
101,11963.431135330527
102,2302.226765229188
103,4050.228678686215
104,1646.7130054149982
105,2596.5577194682664
106,9014.102600016591
107,8806.397846653817
108,23639.14267576717
109,1356.0841776144969
110,2328.477809192535
111,2781.480021473884
112,5934.2924778695715
113,4894.730646275212
114,1334.9914571953516
115,7808.613097718303
116,32474.0803656283
117,13067.613413134959
118,8713.149791103018
119,597.6152197858942
120,2946.9716550576777
121,1462.9254312380315
122,30576.367187594944
123,1371.7932087033128
124,1174.7438934086063
125,3408.160193895137
126,77866.4831572296
